
TimeEdit,Jönköping University
Stina Freid,2026-07-30 - 2027-03-02 Mån-Fre,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Programklass,Grupp,Lärare,Aktivitet,Lokal,Notering,Kommentar,Länk 
2026-08-31,15:15,2026-08-31,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1029 (Stora Enso),Introduction,,
2026-09-01,15:15,2026-09-01,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1423 (Fagerhultsaulan),Branding & identity,,
2026-09-04,08:15,2026-09-04,12:00,TCPK16. T1008. Content Creation och portfolio,,"Group  1, Group  3",Stina Freid,Lab,"E2404 (datorsal, Mac)",Figma lab,,
2026-09-04,13:15,2026-09-04,17:00,TCPK16. T1008. Content Creation och portfolio,,"Group  2, Group  4",Stina Freid,Lab,"E2404 (datorsal, Mac)",Figma lab,,
2026-09-07,13:15,2026-09-07,15:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,Undervisning online (Teaching online),Johanna Burai - Guest lecture,,
2026-09-08,13:15,2026-09-08,15:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1405 (Gjuterisalen),Josefine Bäckström,,
2026-09-10,13:15,2026-09-10,15:00,,,,Stina Freid,,E1405 (Gjuterisalen),Guest lecture,,
2026-09-11,08:15,2026-09-11,12:00,TCPK16. T1008. Content Creation och portfolio,,"Group  1, Group  3",Stina Freid,Lab,"E2404 (datorsal, Mac)",Motion lab,,
2026-09-11,13:15,2026-09-11,17:00,TCPK16. T1008. Content Creation och portfolio,,"Group  2, Group  4",Stina Freid,Lab,"E2404 (datorsal, Mac)",Motion lab,,
2026-09-16,13:15,2026-09-16,15:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1405 (Gjuterisalen),Ingmar sthlm - Guest lecture,,
2026-09-17,13:15,2026-09-17,15:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1405 (Gjuterisalen),Auste guest lecture,,
2026-09-18,08:15,2026-09-18,12:00,TCPK16. T1008. Content Creation och portfolio,,"Group  1, Group  3",Stina Freid,Lab,"E2404 (datorsal, Mac)",Motion lab,,
2026-09-18,13:15,2026-09-18,17:00,TCPK16. T1008. Content Creation och portfolio,,"Group  2, Group  4",Stina Freid,Lab,"E2404 (datorsal, Mac)",Motion lab,,
2026-09-21,15:15,2026-09-21,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1029 (Stora Enso),Guest lecture,,
2026-09-22,15:15,2026-09-22,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1423 (Fagerhultsaulan),Content,,
2026-09-25,08:15,2026-09-25,12:00,TCPK16. T1008. Content Creation och portfolio,,"Group  1, Group  3",Stina Freid,Lab,"E2404 (datorsal, Mac)",Content production,,
2026-09-25,13:15,2026-09-25,17:00,TCPK16. T1008. Content Creation och portfolio,,"Group  2, Group  4",Stina Freid,Lab,"E2404 (datorsal, Mac)",Content production,,
2026-10-12,15:15,2026-10-12,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1029 (Stora Enso),Presentations,,
2026-10-13,15:15,2026-10-13,17:00,TCPK16. T1008. Content Creation och portfolio,,,Stina Freid,Lecture,E1423 (Fagerhultsaulan),Presentations,,
